year,ekey,akey,medal
1988,145,997,
1992,145,997,
2000,582,1000,B
2004,558,1001,
2000,168,1002,
1980,461,1003,
1980,146,1003,
1980,551,1003,
1980,431,1003,
1980,147,1003,
1984,461,1003,
1984,146,1003,
1984,551,1003,
1984,431,1003,
1984,147,1003,
2016,487,1004,
2000,411,1005,
1900,502,1006,
1936,513,1007,
1936,626,1007,
1972,251,1008,
1972,582,1009,
1984,202,1010,
1996,66,1011,
1964,582,1012,
1968,582,1012,
1980,217,1013,
1972,180,1014,
1920,471,1015,
1920,326,1015,
1920,196,1015,
1920,48,1015,
1920,131,1015,
1920,265,1015,
1924,124,1015,
1924,428,1015,
1924,111,1015,
1928,516,1016,
2008,162,1017,G
2012,202,1017,G
2012,162,1017,S
2012,223,1017,G
2016,578,1017,B
2016,202,1017,B
2016,162,1017,G
2016,223,1017,G
2016,437,1018,
1984,108,1019,
1988,224,1019,
1988,108,1019,
1992,185,1020,
1996,185,1020,S
2000,185,1020,B
1960,592,1021,
1972,339,1021,
2000,411,1022,
2004,411,1022,
2008,411,1022,
2000,185,1023,B
2004,185,1023,
2008,185,1023,
2012,185,1023,
2016,185,1023,
1996,512,1024,
2004,512,1024,
2004,148,1024,
2008,148,1024,
1996,297,1025,S
1988,504,1027,
2008,420,1028,
1952,6,1029,
2000,368,1030,
2000,475,1030,
1980,183,1031,
2004,314,1032,
2004,555,1032,
2008,422,1032,
2008,555,1032,
1980,80,1033,
2016,416,1035,
2008,76,1036,
1996,586,1037,
2000,195,1037,
1984,251,1038,
2008,165,1039,
1948,399,1041,
1936,172,1042,
1988,430,1043,
1964,541,1046,S
1912,51,1047,
1972,573,1048,
1912,240,1049,
1912,604,1049,
1976,513,1050,
1928,368,1051,
1928,475,1051,
2012,578,1052,
2012,162,1052,
2016,578,1052,
2016,162,1052,
1928,513,1054,
1928,626,1054,
1928,109,1054,
2008,513,1056,
2012,367,1057,
1992,358,1058,
1992,560,1059,
1992,629,1059,
1996,329,1059,
1972,292,1060,
1972,211,1060,
1924,618,1061,
1924,61,1061,
1924,539,1064,
1928,516,1064,
1936,539,1064,
1912,585,1065,
1912,404,1066,
2008,582,1067,
2016,11,1068,
1996,482,1069,
1968,517,1070,
2008,461,1071,
2008,210,1071,
2008,146,1071,
2008,431,1071,
2008,147,1071,
2012,210,1071,S
2012,146,1071,
2012,147,1071,
1996,110,1072,
1984,513,1073,
2012,59,1074,
2016,59,1074,
2004,167,1075,
1936,344,1076,
2012,420,1078,
1980,251,1079,
1988,112,1080,
2016,246,1082,
1948,158,1083,
2000,518,1084,
2000,137,1086,
2016,9,1087,
1996,54,1088,
1996,348,1088,S
2000,54,1088,
2000,348,1088,
1972,494,1089,
